MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
1303100,58717,16069,31317,11331,16564,21470,20683,83,48,64,5152,4868,2799,10297,549,772,1719,774,2894,85,3227,6157,6329,1164,7208,2289,2239,5428,11918,13363,11939
1303200,39077,10336,19315,9426,13118,15633,10326,806,37,324,1977,3512,605,6559,1004,342,723,397,987,487,782,6330,4361,487,6027,954,2376,3646,9205,9134,6756
1303300,82511,18990,47078,16443,18502,27694,36315,89,71,460,6993,8888,6620,9105,1182,1429,2370,798,7649,899,7417,7361,9180,1454,6585,1914,2047,8170,15839,19134,20378
1303400,89807,21745,50323,17739,19947,36097,33763,202,61,187,4352,20483,5245,8042,3312,725,2880,565,1961,1054,6908,6290,15433,917,6815,1671,2704,11379,19429,21140,16114
1303500,41805,9961,22192,9652,11198,17941,12666,827,21,270,1321,9884,1250,5164,1516,835,824,177,794,445,1672,4577,3943,322,4518,878,2567,4484,10613,10217,6530
1303600,67921,17949,36312,13660,17657,25456,24808,75,16,110,1589,5989,3779,7129,1407,735,1987,1069,1694,319,3240,17424,7908,758,7986,1694,3013,6373,13794,15198,14607
1303700,29719,7266,15829,6624,8391,12247,9081,703,291,60,2143,3484,1015,3871,466,245,1058,353,1401,671,1316,3807,3326,253,2820,781,1655,3090,6989,6822,5552
1303800,45192,11708,25342,8142,11235,19264,14693,284,26,298,2774,8006,5351,6415,3208,159,535,1388,1190,73,2699,3650,2846,112,3511,895,1772,5445,10529,10362,7148
1303900,31172,7409,17036,6727,7976,12072,11124,268,21,256,3103,4527,1428,3480,1380,308,682,245,828,29,1676,3913,3000,179,3247,711,1891,3242,7531,7584,5406
1304000,100543,22569,55442,22532,24626,37470,38447,84,43,164,3970,7416,3131,9955,1792,1701,1570,948,5293,492,9352,12266,21995,2122,10713,2886,4650,10731,22618,26187,18438
1304007**,360856,83895,204019,72942,82831,119658,158367,180,93,313,21199,26737,35184,52903,7813,10452,14729,6193,28636,12064,31311,28718,31446,3406,32858,9901,6720,36965,70895,84894,84207
1304100,34032,9265,18236,6531,10268,12581,11183,65,51,57,2527,2757,715,5669,283,228,580,388,2259,108,2697,3892,4493,492,4325,1198,1248,3580,7827,8014,5346
1304200,38355,7172,20812,10371,9043,14247,15065,1194,629,2092,1579,4924,1558,3567,1734,214,751,155,4371,640,1046,3893,3844,91,2078,661,3334,4760,10855,9727,5841
1304300,60735,14106,33989,12640,15254,21956,23525,56,1,411,4623,8816,2762,8793,894,1429,1447,655,1596,265,4759,6387,6643,349,6669,1175,3005,6712,14206,15277,10434
1304400,45242,11410,25097,8735,12549,16171,16522,10,51,329,2093,4577,3905,7663,3027,394,672,739,995,227,3526,4454,4177,411,5191,1124,1677,5020,10571,10781,7460
1304500,25265,7132,13724,4409,8145,9084,8036,7,6,2,2254,1028,518,4430,766,182,381,322,776,46,1520,3843,3285,347,3799,640,1113,2396,5481,5780,4476
1305000,105870,24634,59515,21721,26781,40104,38985,197,85,547,3762,4726,6637,12204,22218,786,1831,1482,1963,543,10770,9285,9262,240,11858,2182,5292,12913,25226,26270,16827
1306000,60643,16648,32861,11134,19118,22468,19057,25,81,796,1965,2934,2558,10848,4384,775,1385,861,1709,550,4437,7336,7100,687,8069,1369,2774,6260,13487,14397,9851
1600190,97775,25143,49751,22881,27816,38614,31345,1666,817,582,6201,8982,2199,14477,1438,1286,3107,1166,4017,444,4399,9993,15417,3080,10692,2589,5223,7609,23705,25209,16109
1600300,39835,9052,20543,10240,11802,14467,13566,907,268,245,2234,5257,1076,4433,1076,690,1472,373,790,221,892,3424,6129,1544,3756,1058,3990,3073,10325,11065,6320
1600490,326729,79263,180428,67038,78993,121931,125805,5578,226,1406,21417,30387,15019,37915,9660,5041,13019,4020,17789,4649,26565,24828,48522,4321,27085,9183,20099,28497,70034,84391,64544
1600900,49309,12813,25440,11056,14288,20390,14631,3954,44,274,1976,6048,1885,6338,2459,557,1190,345,1337,245,3650,4065,7408,434,4028,1302,1770,5890,11336,12414,6856
1601000,42741,9618,22506,10617,11072,17501,14168,6996,41,304,2915,4789,1723,4343,1869,487,610,520,1336,90,1348,3549,2999,508,4430,1487,2397,6147,9995,10506,6475
1601190,89955,24173,46283,19499,29181,32848,27926,3857,821,483,5268,9385,3817,10386,2507,876,2855,938,3047,956,3759,12680,12052,1322,6936,1961,6049,8614,20214,22521,14433
1601200,58649,15295,31154,12200,16515,20563,21571,625,0,113,2932,2944,3080,8796,1578,872,1602,511,7755,156,5025,3560,9443,563,5184,1584,2326,4731,12822,15076,10725
1700104,44678,9620,22600,12458,12355,16638,15685,369,134,129,1577,8702,2098,4952,1623,328,1280,245,1177,200,1766,4368,6724,547,3974,1647,2838,3727,12137,12237,6957
1700105,69471,15321,37765,16385,16365,22168,30938,64,66,786,3245,9964,3320,7230,2520,1013,2206,588,3547,4401,4811,6164,8659,701,5450,2441,2295,6283,16008,18157,13702
1700202,47165,10294,24115,12756,14351,17500,15314,1442,53,198,2101,6449,1943,5506,1201,588,1777,251,1151,36,855,7274,6831,475,3839,1577,3618,3759,12314,12442,8356
1700300,46305,10659,23579,12067,12288,17228,16789,744,358,154,1883,4858,4756,6037,1967,674,2236,565,1095,103,1391,3651,7927,511,3486,1499,2410,3595,12662,12284,7105
1700401,39442,8958,20097,10387,11485,16035,11922,549,128,254,1598,5513,2066,4993,1372,307,2090,193,1055,76,854,5037,6114,374,3420,959,2490,3375,10648,10284,6177
1700501,52705,12825,26646,13234,14608,19961,18136,1299,129,450,3038,6180,3095,7189,1977,975,1477,495,1091,190,991,4706,8408,665,5236,1640,3474,3683,14044,13922,8231
1700600,41209,10940,20637,9632,11710,15777,13722,433,54,178,1382,8473,1321,4301,737,500,1601,572,1157,749,2909,4829,6226,185,3128,1104,1370,3267,10272,10335,6395
1700700,33991,7472,17489,9030,8957,13405,11629,692,751,367,1287,6935,1858,3328,1857,401,1270,242,791,101,721,3597,4336,245,2439,913,1860,2458,9306,9589,5166
