MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3700100,44222,11596,21613,11013,12920,17762,13540,288,492,156,2683,2868,1406,6084,685,370,686,806,1177,503,1628,6675,6588,1227,6263,1287,2350,4006,10389,10532,7699
3700200,53426,12287,27881,13258,13578,24039,15809,485,47,162,4079,9665,2165,6706,1733,522,845,484,1438,2190,2795,4605,7027,539,4440,1413,2086,6331,13602,13445,7761
3700300,31516,6903,16142,8471,8345,13857,9314,117,14,270,2005,6116,1967,4828,776,109,604,239,581,118,1910,2996,3137,288,2867,781,1793,3690,8410,7810,4703
3700400,29601,6491,15210,7900,7833,10930,10838,381,30,341,1729,6575,466,3438,1260,77,381,112,705,85,2278,3300,3605,145,1979,668,2046,3465,7665,7583,4397
3700590,59150,12188,30544,16418,16111,24290,18749,1092,43,342,2698,8351,2518,7759,4089,826,946,489,1338,170,2272,7100,8717,364,4880,1445,3711,7440,15315,15377,8830
3700700,30259,5923,15670,8666,8616,11421,10222,693,27,147,1460,1400,1141,3863,1117,193,575,631,1371,146,1535,4370,4075,548,3099,1126,2742,3434,7661,8033,5208
3700800,34183,6912,17320,9951,9782,14674,9727,1217,7,137,1801,4113,797,4569,435,212,686,1912,753,31,1571,3290,2975,559,5691,896,2531,4278,8851,8747,5395
3700900,56241,11739,29337,15165,15165,21794,19282,1133,48,157,2618,9340,2822,7581,676,1164,1042,512,1715,1300,2701,5837,7951,355,5357,1045,2887,6979,15085,14251,8187
3701000,37542,7970,20012,9560,9674,13561,14307,806,7,7,3069,7281,1497,4035,769,174,680,290,909,202,2299,3247,5556,306,3390,724,2294,4803,9728,9439,5602
3701100,50725,12983,27218,10524,13886,18708,18131,540,72,63,4282,6712,2142,8080,1316,318,858,443,1476,297,3063,5325,5979,385,5657,1290,2427,5707,11420,12244,8371
3701200,637880,143359,360029,134492,130864,191980,315036,1011,272,2534,34977,26602,30075,67451,10540,22156,22963,10117,66671,11823,48893,50451,72203,11786,52895,17515,76945,58936,125588,153330,156667
3701300,217610,41671,127829,48110,35114,54353,128143,224,31,188,5276,23833,6857,16081,3220,3412,11530,2433,27247,1138,10937,34631,39237,2088,16049,5261,7937,19200,40835,51875,64029
3701400,72977,15464,41111,16402,13799,21662,37516,260,10,238,1897,2280,951,6124,718,895,1105,730,3663,348,1495,22494,17380,644,6774,2434,2537,6335,13295,16701,21182
3701500,43882,9860,23240,10782,11320,17272,15290,486,69,280,2346,9909,1684,5530,808,809,697,424,1472,335,2803,4042,5155,651,3788,941,1653,5505,10191,10801,7525
3701600,63697,15564,32595,15538,17350,24167,22180,87,54,105,3009,9387,2627,9457,1146,398,1488,518,1402,376,3390,6390,11265,748,7702,1547,2601,7258,14738,15314,10823
3701700,285732,63430,154049,68253,69056,99438,117238,305,62,357,11712,33875,18489,32016,17373,4584,12957,4509,12438,5230,26480,21066,36451,3753,27334,7070,9671,30169,66005,70985,55143
3701800,192336,41432,103722,47182,44391,66972,80973,72,114,169,6891,15770,6264,23006,5674,1767,8881,2038,9696,6417,14266,16392,41072,2980,19112,4625,7130,19149,43195,49276,39284
3701990,98916,23120,53242,22554,23520,37643,37753,531,57,437,5848,17830,4674,13001,4681,842,1550,710,3677,4541,6236,7294,10108,2556,9078,2132,3133,10103,23675,24845,17173
3702000,36995,7426,19694,9875,8089,16906,12000,181,27,126,1138,11391,2093,3649,848,277,556,156,578,364,1648,3343,3812,213,2609,842,3144,4125,10198,9565,5681
3702100,44791,10179,23498,11114,10506,20367,13918,225,98,58,1329,15558,1129,4680,290,191,519,226,632,86,2374,3490,6833,237,3894,1006,1936,4576,11555,11560,6921
3702200,131472,30856,70396,30220,31829,52582,47061,284,96,497,6404,11678,3552,16704,3354,1481,2857,1792,6007,897,7893,9036,27279,2739,18121,4702,6099,12257,29394,32469,26496
