puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3702600,46313,10329,23820,12164,13403,19099,13811,264,30,207,2237,6549,975,5668,1757,987,807,277,1173,118,3004,5844,7014,676,4677,1009,3040,4883,11769,11726,7606
3702700,34788,8020,18567,8201,8036,13735,13017,131,50,280,2688,8369,1400,4209,1273,427,488,213,1076,95,2573,2952,2852,593,2855,846,1418,3596,8749,8812,5611
3702800,87885,18964,46651,22270,19076,35546,33263,89,26,354,2690,24429,4311,10657,4255,500,1199,558,3169,2237,5419,5051,10188,1032,7158,1677,2886,9481,22576,22739,14125
3702900,71238,16929,38751,15558,17197,25102,28939,138,20,281,4109,10674,3626,10252,1131,616,1190,618,3048,4441,4563,5326,8165,2143,7135,1616,2146,6900,16387,18017,13005
3703001,23098,4599,12552,5947,5118,9020,8960,23,93,116,1383,8940,1044,2209,1042,64,174,327,322,99,1172,2301,1348,63,1609,414,355,2826,6166,5997,3510
3703002,55658,13351,29294,13013,14575,20859,20224,15,1,478,2284,8050,1524,8359,585,443,990,650,1634,270,3519,3763,11200,837,6244,1327,3485,5795,13134,14082,9296
3703101,191586,38083,117197,36306,27210,44612,119764,2,0,2014,4463,2089,2566,8802,1351,7696,22559,4642,22174,14510,15439,7516,38609,4411,13881,4015,14847,15700,34640,46955,56208
3703102,64254,13639,36579,14036,12660,22465,29129,0,47,96,6014,6003,9786,6244,9713,1226,520,1056,1864,706,5713,3878,3694,238,5356,2097,3,8333,16258,15979,10045
3703103,50807,10725,30210,9872,9452,14828,26527,6,6,0,1866,1071,1603,5184,400,1299,12458,844,5416,749,2764,6059,4855,518,4706,673,330,4750,9381,11788,14163
3703104,78685,19479,43364,15842,18529,21505,38651,34,2,188,2615,308,3366,10902,197,1704,12314,2377,7284,4511,5410,4792,8754,2685,8534,2687,21,6322,14031,18022,20831
3703105,133255,30102,74155,28998,27175,41873,64207,61,0,132,7123,5316,7802,11877,19400,8027,7241,2190,10849,4147,18933,3525,9091,1233,11536,4588,184,13563,28494,33372,27724
3703106,70907,19041,38136,13730,18069,21735,31103,1394,0,1372,3717,5026,5589,10038,2428,1189,2736,1644,4552,1251,5920,4528,6309,2328,8499,1981,406,6563,14357,16528,14418
3703107,58363,14349,32413,11601,13478,17024,27861,6,42,109,2933,2292,1827,8401,977,2606,8452,563,4577,2695,6243,2414,6540,621,6101,874,90,5164,11371,13765,13714
3703108,86735,20670,48368,17697,18764,25673,42298,145,65,34,6660,12803,9458,10224,3781,1247,4393,1394,6193,2663,5509,2045,6877,3778,6921,2272,273,9083,18536,20551,17895
3703200,71231,20124,37248,13859,21009,24770,25452,45,52,172,3407,4742,3802,12631,3604,822,945,934,2430,1215,3771,4920,10181,2959,9989,1886,2724,7129,15265,16764,11949
3703300,26658,6518,13741,6399,7335,10222,9101,422,12,60,2392,4468,889,3715,246,87,482,202,664,431,1549,3345,3046,296,2604,718,1030,2757,6422,6608,4353
3703400,50488,11594,26652,12242,13466,18283,18739,428,227,168,2728,7772,2558,5878,4063,166,697,206,1016,768,3084,4086,8459,742,4390,1022,2030,5412,12023,12863,8596
3703500,45522,10247,24010,11265,11247,18964,15311,78,64,126,2329,9482,2264,6043,1737,118,847,362,806,1407,3279,4921,4536,532,3983,1091,1517,5216,11414,11397,7248
3703600,47124,10253,25007,11864,10899,21354,14871,246,44,129,2538,15966,2368,4650,1082,216,869,374,703,323,3107,3626,4224,479,3716,1094,1370,6154,12571,11518,6628
3703700,46506,10463,24275,11768,13031,19088,14387,413,38,150,2144,4682,820,5490,534,393,814,381,1513,547,3022,3610,11449,1522,5786,1428,1770,5091,10687,12140,8125
3703800,25802,6608,13279,5915,8287,9930,7585,219,68,98,1890,1979,571,4716,765,127,526,284,778,253,946,4534,3384,251,2819,554,1040,2759,6036,6183,4216
3703900,37089,7810,19753,9526,8313,17732,11044,4799,0,44,1467,8733,1097,3783,607,182,411,117,463,1422,1446,3925,3897,68,2083,679,1866,5707,9446,9273,4853
3704000,39951,9233,20708,10010,10879,16429,12643,1261,6,275,1781,5101,1504,5988,1103,192,897,354,964,640,1341,4628,6227,246,4197,1056,2190,5093,9733,10034,5858
3704100,30806,6930,16047,7829,7752,13713,9341,601,30,59,2222,7523,994,3304,699,110,464,209,672,371,1517,2971,4361,150,2367,681,1501,4131,7867,7717,4161
3704200,77718,19912,40700,17106,20929,27060,29729,547,21,505,3101,6619,1549,8960,711,814,1719,931,1761,1432,5928,10046,19173,473,9056,1636,2736,8136,16557,19130,13983
3704300,33159,7347,17227,8585,9072,12800,11287,264,33,91,1196,4098,656,4146,754,302,588,359,1715,149,2066,3214,6722,440,3978,959,1429,3499,7853,8681,5779
3704400,40925,9178,20658,11089,12045,16413,12467,610,6,165,2308,3738,1291,6308,677,300,802,681,1145,228,2617,4292,5375,935,5575,1296,2576,4480,10021,10407,6839
