ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
1211100,20.0,68500.0,1214.0,60100.0,921.5,35000.0,0.18960123420511313,30000.0,29000.0,42,719,stayers
1211300,25.0,84850.0,1082.5,77650.0,1056.5,46900.0,0.15714285714285714,42100.0,40350.0,14,544,stayers
1211500,20.0,79005.0,1390.0,69600.0,928.0,40000.0,0.17764350453172206,36000.0,33000.0,50,1484,stayers
1211700,25.0,91000.0,1300.0,83300.0,1307.0,42000.0,0.1788904694167852,40000.0,39000.0,85,2009,stayers
1212100,20.0,56000.0,700.0,48320.0,452.0,34810.0,0.1340609441388838,32000.0,32000.0,12,274,stayers
1300100,15.0,75000.0,997.0,68600.0,878.0,35600.0,0.15995375722543353,30100.0,30000.0,26,527,stayers
1300200,25.0,72000.0,1082.0,65550.0,916.0,38000.0,0.17102137767220904,35000.0,33400.0,34,458,stayers
1300300,20.0,74200.0,823.0,63200.0,860.0,38000.0,0.16376025236593061,34000.0,32000.0,18,552,stayers
1300400,20.0,80000.0,1039.0,68600.0,1090.0,40000.0,0.18684962406015038,35000.0,33000.0,62,1087,stayers
1300500,20.0,51200.0,635.0,46600.0,502.0,30000.0,0.1505689226028209,28200.0,26900.0,23,608,stayers
1300600,15.0,75300.0,800.0,60300.0,745.0,35000.0,0.16018285714285713,31000.0,30000.0,17,426,stayers
1300700,15.0,57250.0,680.0,48900.0,610.0,32000.0,0.171894851055435,30000.0,29350.0,20,528,stayers
1300800,20.0,53800.0,765.0,51365.0,608.0,32000.0,0.1548,30000.0,30000.0,20,441,stayers
1300900,15.0,68000.0,850.0,57700.0,1001.5,37000.0,0.18313588850174217,34000.0,33000.0,35,428,stayers
1301090,25.0,101800.0,1220.0,88900.0,1443.0,50000.0,0.18095606618096333,50000.0,46000.0,302,6592,stayers
1301100,20.0,52900.0,650.0,47800.0,685.0,32800.0,0.16131428571428572,30000.0,29000.0,32,553,stayers
1301200,20.0,57600.0,691.0,53600.0,499.0,32000.0,0.13850487958115182,30000.0,29800.0,32,575,stayers
1301300,20.0,58200.0,620.0,50200.0,490.0,30000.0,0.14181818181818182,29600.0,28000.0,37,648,stayers
1301400,15.0,65675.0,830.0,55900.0,806.0,33000.0,0.17836363636363636,30000.0,30000.0,33,523,stayers
1301500,20.0,75500.0,912.0,67400.0,854.0,40000.0,0.15493977533155504,35000.0,32000.0,28,447,stayers
1301600,20.0,61200.0,707.0,56000.0,770.5,36000.0,0.16688328029013394,33000.0,31400.0,37,611,stayers
1301700,15.0,70000.0,930.0,56700.0,838.0,33400.0,0.18608695652173912,32000.0,30000.0,43,673,stayers
1301800,20.0,61550.0,592.0,54500.0,660.0,34000.0,0.16445806451612904,31500.0,30000.0,40,670,stayers
1301900,20.0,65900.0,846.5,60030.0,819.0,36000.0,0.15936,33100.0,31200.0,26,546,stayers
1302100,25.0,93400.0,1164.0,85500.0,1242.0,47200.0,0.1671496062992126,45000.0,42000.0,16,564,stayers
1302200,20.0,60900.0,755.0,55470.0,773.5,35000.0,0.17003389830508475,32200.0,31000.0,17,418,stayers
1302300,25.0,68000.0,902.0,60500.0,789.0,35700.0,0.15929515418502205,35000.0,32500.0,11,351,stayers
1302400,30.0,120600.0,1339.0,110100.0,1503.0,57500.0,0.1602317909794191,51000.0,50000.0,10,480,stayers
1302500,20.0,65700.0,780.0,61000.0,810.0,32000.0,0.1590967741935484,30000.0,30000.0,28,618,stayers
1302600,20.0,64004.0,713.0,57000.0,688.0,35000.0,0.1418823529411765,33550.0,32000.0,20,654,stayers
1302700,20.0,66600.0,735.0,59000.0,799.5,35000.0,0.1455123113582208,34000.0,33000.0,20,389,stayers
1302800,20.0,65500.0,705.0,57000.0,720.0,35000.0,0.15274825174825174,32000.0,30700.0,22,673,stayers
1302900,25.0,70000.0,843.0,67600.0,1010.0,38500.0,0.18223728813559323,36000.0,35000.0,20,359,stayers
1303000,30.0,108300.0,1290.0,98750.0,1351.0,50000.0,0.15949367088607594,48000.0,46000.0,111,3084,stayers
1303100,30.0,96500.0,1303.0,94000.0,1383.0,45700.0,0.16701969322117766,45000.0,41200.0,30,865,stayers
1303200,20.0,69500.0,727.0,60400.0,801.0,35000.0,0.16284112149532712,31750.0,30000.0,18,528,stayers
1303300,30.0,125000.0,1370.0,117600.0,1709.0,60000.0,0.16124365235623514,56000.0,55000.0,34,1394,stayers
