Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,TOT_POP,HH_MED_INC,HH_OCC,HU_OWN,HU_RENT,HH_MED_RENT,SE_T106_001,HU_OWN_M,SE_T106_003,SE_T106_004,SE_T106_005,SE_T106_006,SE_T106_007,SE_T106_008,SE_T106_009,SE_T106_010,SE_T106_011,SE_T106_012,SE_T106_013,SE_T106_014,HU_OWN_NOM,SE_T106_016,SE_T106_017,SE_T106_018,SE_T106_019,SE_T106_020,SE_T106_021,SE_T106_022,SE_T106_023,SE_T178_001,SE_T178_002,HH_OWN_M,HH_OWN_NOM
6059087401,Census Tract 874.01,"Census Tract 874.01, Orange County, California",0,6,59,87401,2305.999986,52631.84965,853.999995,589.9999965,263.9999984,974.6892211,559.9999967,324.9999981,0,15.99999991,55.99999967,37.99999978,13.99999992,29.99999982,29.99999982,10.99999994,16.9999999,38.99999977,40.99999976,32.99999981,234.9999986,23.99999986,107.9999994,53.99999968,29.99999982,5.999999965,12.99999992,0,0,364,71,1059.24,206.61
6059087403,Census Tract 874.03,"Census Tract 874.03, Orange County, California",0,6,59,87403,2599.824514,39672.68706,982.045037,488.0284787,494.0165582,855.3988985,183.6344378,116.7675501,0,5.988079494,23.95231798,2.994039747,9.98013249,10.97814574,3.992052996,7.984105992,3.992052996,25.94834447,20.95827823,0,66.86688768,15.96821198,9.98013249,12.97417224,4.990066245,0,0,14.97019873,7.984105992,403,89,1172.73,258.99
6059087404,Census Tract 874.04,"Census Tract 874.04, Orange County, California",0,6,59,87404,1696.052086,49560.95804,629.8558762,215.2240168,414.6318594,832.122738,126.8395142,89.0047447,0,3.72145274,3.411331678,10.5441161,12.40484247,6.202421233,4.961936986,8.373268665,9.30363185,13.64532671,7.753026541,8.683389726,37.83476952,0,9.30363185,19.22750582,7.44290548,1.86072637,0,0,0,419,87,1219.29,253.17
6059087405,Census Tract 874.05,"Census Tract 874.05, Orange County, California",0,6,59,87405,3772.94796,49560.95804,1401.144141,478.7759891,922.3681519,832.122738,282.1604893,197.9952577,0,8.278547362,7.588668415,23.45588419,27.59515787,13.79757894,11.03806315,18.62673156,20.6963684,30.35467366,17.24697367,19.31661051,84.16523151,0,20.6963684,42.7724947,16.55709472,4.139273681,0,0,0,419,87,1219.29,253.17
6059087503,Census Tract 875.03,"Census Tract 875.03, Orange County, California",0,6,59,87503,5122.999833,57567.90385,2193.999929,910.9999703,1282.999958,1047.427223,529.9999827,462.9999849,0,0,37.99999876,92.99999697,59.99999805,44.99999853,30.99999899,36.9999988,9.999999674,55.99999818,80.99999736,11.99999961,66.99999782,5.999999805,0,17.99999941,17.99999941,12.99999958,11.99999961,0,0,344,113,1001.04,328.83
6059087504,Census Tract 875.04,"Census Tract 875.04, Orange County, California",0,6,59,87504,4609.330272,44708.9493,1859.894506,630.1025584,1229.791947,922.31786,210.7160832,186.6708202,0,0,15.0731171,9.087044183,23.09516828,10.05686886,26.04410234,8.013927054,0.039460039,48.09284704,17.11721949,30.05106586,24.04526293,6.999999983,0.005802947,0.011605894,0.020890609,17.0069635,0,0,0,504,132,1466.64,384.12
6059087505,Census Tract 875.05,"Census Tract 875.05, Orange County, California",0,6,59,87505,4657.767604,55263.11888,1615.63514,744.6057208,871.0294194,837.9417781,278.7294142,264.7929435,0,20.90470607,37.82756336,26.87747923,29.86386581,28.86840361,4.977310968,17.91831949,14.9319329,49.77310968,6.968235355,25.88201703,13.93647071,0,0,13.93647071,0,0,0,0,0,329,87,957.39,253.17
6059087601,Census Tract 876.01,"Census Tract 876.01, Orange County, California",0,6,59,87601,3309.000045,59378.11364,1357.000018,510.0000069,847.0000115,954.3225806,475.0000065,434.0000059,0,0,30.00000041,101.0000014,63.00000086,30.00000041,41.00000056,30.00000041,18.00000025,40.00000054,40.00000054,41.00000056,41.00000056,0,0,18.00000025,12.00000016,0,11.00000015,0,0,338,105,983.58,305.55
6059087602,Census Tract 876.02,"Census Tract 876.02, Orange County, California",0,6,59,87602,5257.999971,70013.09615,1848.99999,1155.999994,692.9999962,864.1274587,934.9999948,881.9999951,0,5.999999967,84.99999953,79.99999956,155.9999991,105.9999994,41.99999977,48.99999973,36.9999998,104.9999994,98.99999945,116.9999994,52.99999971,0,3.999999978,10.99999994,0,11.99999993,18.99999989,0,6.999999961,359,148,1044.69,430.68
6059087701,Census Tract 877.01,"Census Tract 877.01, Orange County, California",0,6,59,87701,3771.000005,69845.00524,1359.000002,836.0000012,523.0000007,773.9323367,693.000001,668.0000009,6.000000008,11.00000002,132.0000002,130.0000002,63.00000009,43.00000006,26.00000004,38.00000005,14.00000002,61.00000008,68.00000009,76.0000001,25.00000003,0,0,0,11.00000002,0,14.00000002,0,0,293,155,852.63,451.05
6059087703,Census Tract 877.03,"Census Tract 877.03, Orange County, California",0,6,59,87703,4861.000039,76607.43182,1375.000011,985.0000079,390.0000031,1143.441385,900.0000072,880.000007,0,30.00000024,116.0000009,111.0000009,61.00000049,48.00000038,71.00000057,80.00000064,92.00000074,80.00000064,150.0000012,41.00000033,20.00000016,0,0,12.0000001,8.000000064,0,0,0,0,402,95,1169.82,276.45
6059087704,Census Tract 877.04,"Census Tract 877.04, Orange County, California",0,6,59,87704,4235.999954,84995.81469,1322.999986,892.9999904,429.9999954,1152.169945,759.9999918,710.9999923,0,4.999999946,76.99999917,49.99999946,57.99999938,47.99999948,85.99999907,90.99999902,22.99999975,73.9999992,91.99999901,106.9999988,48.99999947,0,6.999999925,10.99999988,23.99999974,6.999999925,0,0,0,417,106,1213.47,308.46
