puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
4802322,180596,36756,109105,34735,25028,49671,105897,60,1106,139,12947,13988,24849,12818,8762,7669,16240,4041,13634,5179,26976,7163,10709,1038,9856,3093,329,21806,33539,44670,43825
4802400,33322,8029,17943,7350,7790,11706,13826,431,1381,222,3006,3278,1192,4855,1315,435,611,317,1008,150,1506,4593,3410,324,3349,792,1147,3752,7566,8485,5490
4802501,125030,29454,66894,28682,24633,37074,63323,29,693,238,5294,2053,3423,15123,35025,2318,4947,2628,5649,1983,8679,5747,7197,2047,17108,3559,1290,13078,23286,31414,27798
4802502,96595,21570,54973,20052,16901,29947,49747,7,26,206,8126,6399,10157,8758,11270,1212,9578,1647,3174,630,10222,628,12476,1036,6099,3255,1689,12601,19392,24155,18877
4802503,100993,26315,53702,20976,25937,32158,42898,10,15,952,3769,13193,7226,11139,5176,1436,5585,1996,3707,628,6281,5605,14046,5501,10362,1993,2373,13471,19539,24223,17445
4802504,21490,6789,10668,4033,5613,8112,7765,1,7,160,836,2346,1397,6437,189,224,1357,222,397,0,1187,116,2627,303,2858,822,4,2896,4043,4781,2981
4802505,33170,9165,17613,6392,8999,12059,12112,28,262,131,1966,2635,2307,5014,602,136,966,271,1882,33,1255,5249,3546,676,4259,1457,495,4145,6465,7574,5821
4802506,36608,8423,20418,7767,7264,11776,17568,17,151,0,4267,8812,2729,4197,874,181,270,522,712,67,1032,3581,4146,149,3918,674,309,5451,8054,8835,5845
4802507,39473,9247,20924,9302,10498,14016,14959,11,13,113,2448,1957,1048,5247,222,175,1099,838,1614,153,1933,12436,4311,215,4020,1524,96,5259,7672,9428,7867
4802508,21183,5524,10925,4734,5567,8140,7476,20,7,0,2359,1530,1386,2470,2581,279,293,433,479,55,1998,1063,3454,58,1561,1000,157,3348,4375,4974,2962
4802509,70487,17304,37327,15856,16110,24921,29456,5,454,535,6255,6233,4512,11485,1591,1430,2118,1796,2774,480,8347,4588,7038,1020,6989,1918,919,9412,14349,17310,12112
4802510,35875,9898,19328,6649,9830,12177,13868,49,27,68,1585,1435,804,5555,581,172,2123,902,2186,511,3206,4865,4401,733,4494,1381,797,4082,6335,8164,7396
4802511,26530,7672,14463,4395,6014,11076,9440,33,3,34,2142,3977,2009,4251,2956,736,690,262,1522,1,952,223,2948,229,2673,814,75,3389,4908,5941,4620
4802512,57725,12117,32704,12904,10453,20016,27256,19,438,290,4003,7752,6795,4073,7757,391,1461,722,1785,574,5013,4015,2782,463,4792,1633,2967,8906,12667,14159,9876
4802513,63412,14688,35203,13521,12609,20886,29917,130,53,155,1817,3003,1374,6204,389,414,992,562,2287,1009,2567,4050,28698,1069,6355,1464,820,7553,12161,16075,12935
4802514,57335,15991,29744,11600,14448,19870,23017,87,1301,42,2156,2663,1799,10400,366,623,3064,1191,4353,233,4084,1399,12264,903,7837,2334,236,6809,10921,13614,10000
4802515,118190,22060,65988,30142,17778,29071,71341,161,3235,302,3244,17922,2391,7895,639,2024,8414,1400,7954,1397,3788,24275,6524,2783,8540,2523,12779,12121,23138,31207,29664
